"","Date","Antimony.","Arsenic.","Aluminum.","Barium.","Bromine.","Cadmium.","Calcium.","Chromium.","Cobalt.","Copper.","Chlorine.","Cerium.","Cesium.","Iron.","Lead.","Indium.","Manganese.","Nickel.","Magnesium.","Phosphorus.","Selenium.","Tin.","Titanium.","Vanadium.","Silicon.","Silver.","Zinc.","Strontium.","Rubidium.","Zirconium.","Ammonium","Sodium","Potassium","Nitrate","OC","EC","Sulfate.","PM2.5"
"48","2011-07-14",0,0,0.014,0,0.001,0,0.0298,0.002,0.001,0.0027,0.001,0,0,0.0887,0,0,0.0024,0.001,0,0,0,0,0.001,0,0.0268,0,0.0088,0,0,0,0.109,0.035,0,0.195,2.49,0.944,0.577,5.7
"49","2011-07-17",0,0,0.049,0,0.0051,0,0.0178,0.001,0,0.0019,0.0076,0,0,0.0573,0,0,0.001,0.0036,0.009,0,0.001,0,0,0.004,0.034,0,0.003,0,0,0,0.456,0.13,0.062,0.434,3.6,1.22,1.81,11.1
"50","2011-07-20",0.03,0,0.109,0,0.0068,0,0.0419,0.018,0,0.0104,0.0259,0,0,0.259,0.0065,0,0.0044,0.0108,0,0,0.001,0,0.003,0.0093,0.0611,0,0.0167,0,0.001,0,3.94,0.073,0.041,2.19,4.55,2.36,9.6,25.5
"51","2011-07-23",0,0,0.036,0,0.0035,0,0.0595,0.001,0,0.0064,0.007,0,0,0.145,0.0054,0,0.0024,0.0031,0,0,0,0.021,0.0097,0.003,0.112,0.005,0.0106,0,0,0,1.48,0.07,0.066,0.434,4.88,1.97,4.54,10.3
"52","2011-07-26",0,0.001,0.048,0,0.0043,0.007,0.0509,0.001,0,0.0078,0.0121,0,0,0.172,0,0,0.0016,0.002,0.008,0,0.001,0,0.002,0.002,0.05,0,0.0158,0.001,0,0,0.861,0.091,0.02,0.783,3.23,1.89,2.62,11.8
"53","2011-07-29",0,0,0.005,0,0.0026,0,0.0278,0,0,0.0045,0.0149,0,0,0.107,0.001,0,0.0028,0.0024,0,0,0.001,0,0.004,0.0051,0.0488,0,0.0131,0,0,0,2.1,0.1,0,1.51,3.03,1.75,5.83,18.7
"54","2011-08-04",0,0,0.015,0.0088,0,0.001,0.0464,0,0,0.007,0.0097,0.001,0,0.165,0.004,0,0.0026,0.0027,0.0244,0,0,0,0.002,0.005,0.03,0,0.0131,0.003,0,0,0.393,0.097,0.163,0.614,2.7,1.4,1.76,11.1
"55","2011-08-07",0.007,0,0.027,0,0.0027,0,0.0524,0.0035,0,0.0049,0.0317,0,0,0.0607,0,0,0.001,0.0053,0.007,0,0,0,0.003,0.01,0.031,0,0.0064,0,0,0,1.59,0.132,0,0.418,2.94,0.979,5.18,16.1
"56","2011-08-10",0.004,0.001,0.025,0.004,0.002,0,0.0546,0.002,0,0.0087,0.008,0,0.003,0.146,0,0.006,0.0062,0.0013,0,0,0,0,0.0049,0,0.062,0,0.0155,0,0,0.007,1.3,0.0335,0.025,0.374,2.96,1.51,4.17,26.8
"57","2011-08-13",0.014,0,0.003,0.006,0.0023,0.022,0.0437,0,0,0.005,0.002,0,0.002,0.104,0.0124,0.006,0,0.0033,0.031,0,0.001,0.022,0.004,0.0085,0.0775,0.018,0.013,0,0.001,0.003,0.767,0.05,0.107,0.57,3.31,1.92,2.49,14.5
