"","Date","Antimony.","Arsenic.","Aluminum.","Barium.","Bromine.","Cadmium.","Calcium.","Chromium.","Cobalt.","Copper.","Chlorine.","Cerium.","Cesium.","Iron.","Lead.","Indium.","Manganese.","Nickel.","Magnesium.","Phosphorus.","Selenium.","Tin.","Titanium.","Vanadium.","Silicon.","Silver.","Zinc.","Strontium.","Rubidium.","Zirconium.","Ammonium","Sodium","Potassium","Nitrate","OC","EC","Sulfate.","PM2.5"
"48","2013-08-29",0,0.002,0.003,0,0.0015,0,0.007,0,0,0.0046,0.005,0,0.01,0.167,0,0,0.002,0.001,0,0,0.001,0.013,0.0058,0,0.0475,0,0.0094,0,0,0,1.12,0.0622,0.0293,1.84,2.73,1.24,2.36,11
"49","2013-09-01",0,0,0,0,0.0041,0.014,0.0091,0,0,0.0029,0.0246,0,0,0.134,0.002,0,0.001,0.001,0.026,0,0,0,0.002,0.002,0.0267,0,0.0041,0.0069,0.002,0,0.738,0.27,0.045,0.919,3.06,1.04,2.28,12.4
"50","2013-09-04",0,0,0,0,0,0,0.0079,0.007,0,0.0045,0,0,0,0.124,0.004,0,0.002,0.002,0,0,0,0.004,0.002,0,0.0352,0,0.008,0,0,0,0.253,0.026,0,0.363,1.96,0.837,0.944,6.6
"51","2013-09-07",0.03,0,0.026,0.002,0.0055,0.019,0.0408,0,0.001,0.0052,0.0062,0,0,0.0747,0.004,0,0.003,0.003,0.007,0,0.001,0,0,0.003,0.059,0,0.0105,0,0,0.01,0.324,0.05,0.02,0.838,3.03,1.12,0.971,7.9
"52","2013-09-10",0,0,0.011,0,0.002,0,0.0248,0.001,0,0.0026,0.008,0,0.004,0.0773,0.004,0,0.002,0.006,0.001,0,0,0,0.002,0.0041,0.0605,0,0.0101,0,0,0,1.55,0.212,0.037,0.938,2.86,1.55,4.36,15.5
"53","2013-09-13",0,0,0.005,0,0,0,0.0077,0.001,0,0.0025,0.0049,0,0,0.0853,0,0,0,0,0,0,0,0,0,0.002,0.032,0.008,0.0055,0,0,0,0.208,0.0295,0.0243,0.396,2.15,0.833,0.947,4
"54","2013-09-19",0,0.002,0,0,0.0054,0,0.0208,0.043,0,0.0071,0.0081,0,0,0.115,0.003,0,0.001,0.003,0,0,0.001,0,0.0055,0.001,0.0594,0.006,0.0227,0,0,0,0.541,0.077,0,1.59,3.09,1.71,1.18,9.7
"55","2013-09-22",0,0,0,0,0,0.002,0,0.084,0.0014,0.002,0.02,0,0.002,0.0673,0.001,0,0,0,0,0,0,0,0,0,0.017,0,0.0025,0,0,0,0.146,0.0361,0.0274,0.254,1.82,0.344,0.451,4.1
"56","2013-09-28",0,0.001,0.015,0,0.0017,0,0.0137,0.037,0,0.0048,0.001,0,0,0.19,0.001,0,0.003,0.002,0,0,0.001,0,0,0.001,0.046,0.002,0.0164,0,0,0,0.039,0.133,0.047,0.513,2.89,0.867,0.343,5.5
"57","2013-10-01",0,0.002,0,0,0.0047,0.009,0.165,0.074,0.001,0.0088,0.007,0,0,0.162,0.003,0,0.006,0.002,0,0,0,0,0.0091,0.001,0.113,0,0.015,0,0,0,1.35,0.06,0.035,1.29,3.34,1.71,3.32,13.3
"58","2013-10-04",0,0,0.034,0,0.0062,0,0.0451,0,0.001,0.0047,0.0168,0,0,0.219,0.008,0,0.005,0.004,0.027,0,0.001,0,0.002,0.0046,0.097,0,0.0221,0.001,0,0,2.39,0.0903,0.0321,3.67,5.36,2.76,4.21,21.5
"59","2013-10-10",0,0,0,0,0.0021,0,0.0054,0.057,0.001,0.0016,0.02,0,0,0.0676,0,0,0,0.001,0.009,0,0,0,0.002,0,0.021,0,0.0044,0,0,0.004,0.038,0.153,0.0164,0.489,1.79,0.595,0.389,5.1
"60","2013-10-13",0,0,0.012,0,0.0044,0,0.006,0,0,0.002,0.122,0,0,0.105,0,0,0,0.001,0,0,0,0,0,0,0.0313,0,0.0038,0,0,0,0.191,0.33,0.0166,0.455,1.88,0.372,1.04,6.2
"61","2013-10-16",0,0,0,0,0.0037,0.008,0.0339,0,0,0.002,0.0123,0,0.004,0.214,0.001,0,0.002,0.002,0.002,0,0,0,0,0,0.05,0,0.0149,0,0,0,0.467,0.185,0.039,1.42,2.45,1.32,1.07,8
"62","2013-10-19",0,0.003,0.022,0,0.0044,0,0.0447,0,0.001,0.0026,0.008,0,0,0.128,0.005,0,0.002,0.003,0.007,0,0,0,0.003,0.002,0.066,0,0.0174,0,0.001,0.001,1.21,0.045,0.02,1.58,2.96,1.38,2.92,11.6
"63","2013-10-25",0.061,0.002,0.027,0,0.0017,0.005,0.0279,0,0,0.001,0,0,0,0.105,0,0,0,0.001,0,0,0,0,0,0,0.032,0,0.0119,0,0,0,0.384,0.0504,0.0177,0.634,2.48,1.17,1.11,6.1
"64","2013-10-31",0,0.002,0.03,0,0.0063,0,0.0547,0.013,0.0013,0.0051,0.024,0,0,0.18,0,0,0,0.004,0.004,0,0,0,0.001,0.003,0.097,0,0.0239,0.001,0,0,1.97,0.146,0.044,3.01,3.1,1.72,3.62,18.2
"65","2013-11-06",0.006,0,0,0,0.0027,0.001,0.0116,0,0,0.0026,0.0102,0,0,0.0792,0,0,0.001,0.001,0.008,0,0,0,0.003,0,0.025,0,0.0082,0,0,0,0.108,0.162,0.018,0.549,1.83,0.846,0.862,5.6
"66","2013-11-09",0,0,0,0,0.0027,0,0.0062,0.003,0.001,0.0045,0.004,0,0,0.0882,0.005,0,0.002,0.001,0,0,0,0,0,0.001,0.023,0,0.0116,0,0,0.01,0.476,0.025,0.02,0.908,1.91,0.674,0.993,6
"67","2013-11-15",0.015,0.001,0.039,0.003,0.0054,0,0.0847,0,0,0.007,0.025,0,0.005,0.18,0.004,0,0.008,0.005,0.013,0,0,0,0.0074,0.004,0.136,0,0.036,0,0,0.001,1.43,0.1,0.087,4.02,5.1,2.23,1.5,18.6
"68","2013-11-21",0.037,0,0.001,0,0.001,0,0.034,0.003,0,0.0054,0.0082,0,0,0.157,0,0,0.003,0.003,0,0,0.002,0,0,0.003,0.0448,0,0.0293,0,0,0,0.194,0.135,0.036,0.941,1.98,1,0.511,5.7
"69","2013-11-27",0,0,0.029,0,0,0,0.0204,0,0,0.0024,0,0,0,0.0534,0,0.007,0,0.002,0.002,0,0,0,0,0.003,0.035,0,0.0056,0,0,0,0.112,0.154,0.037,0.431,1.55,0.65,0.559,4.1
"70","2013-12-03",0,0,0.012,0,0.0083,0.004,0.0878,0.004,0.0016,0.0158,0.0556,0,0,0.295,0.011,0,0.007,0.013,0,0.011,0,0.013,0.0079,0.004,0.0968,0,0.0842,0,0.001,0,4.13,0.084,0.101,9.13,7.03,3.6,3.24,32.2
"71","2013-12-06",0,0,0,0,0.0025,0,0.018,0.026,0.001,0.0029,0.0232,0,0,0.067,0.001,0,0,0.002,0,0,0,0.019,0,0.002,0.009,0,0.0208,0,0,0,0.916,0.06,0.041,1.9,2.43,0.763,1.62,8.2
"72","2013-12-12",0,0,0.012,0,0.0036,0,0.03,0,0,0.0027,0.003,0,0,0.0687,0.001,0,0.001,0.002,0,0.008,0.001,0,0,0,0.042,0,0.0129,0.001,0,0,0.346,0.439,0.0493,1.9,1.6,0.62,1.6,7.8
"73","2013-12-18",0,0.002,0,0,0.0025,0,0.0312,0,0,0.0046,0.02,0.001,0,0.0838,0,0,0.003,0.003,0,0,0,0.002,0.004,0,0.017,0,0.0206,0,0,0,1.99,0.11,0.081,4.76,3.11,1.05,2.5,16.5
